,last,first,middle,dept,leave,visiting,title,degrees,name
225,loehlin,david,w.,['biology'],y,0,assistant professor of biology,"2003, a.b., university of chicago, 2011, ph.d., university of rochester","['david', 'w.', 'loehlin']"
226,loepp,susan,r.,['math'],n,0,"william r. kenan, jr. professor of mathematics","1989, b.s., bethel college, 1989, b.a., bethel college, 1994, ph.d., university of texas","['susan', 'r.', 'loepp']"
227,long,gretchen,,['history'],n,0,professor of history,"1989, b.a., wesleyan university, 1994, m.a., university of chicago, 2003, ph.d., university of chicago","['gretchen', 'long']"
228,love,david,a.,['economics'],n,0,"provost, class of 1969 professor of economics","1996, b.a., university of michigan, 1998, m.a., yale university, 2003, ph.d., yale university, affiliated with: economics department","['david', 'a.', 'love']"
229,low,peter,d.,['art'],n,0,professor of art,"1994, b.a., university of toronto, 1995, m.a., johns hopkins university, 2001, ph.d., johns hopkins university","['peter', 'd.', 'low']"
230,lynch,daniel,v.,['biology'],n,0,philip and dorothy schein professor of biology,"1979, b.s., university of massachusetts, lowell, 1983, ph.d., university of texas, austin","['daniel', 'v.', 'lynch']"
231,macdonald,michael,d.,['international studies'],n,0,frederick l. schuman professor of international relations,"1972, b.a., university of california, berkeley, 1974, m.a., university of california, berkeley, 1983, ph.d., university of california, berkeley","['michael', 'd.', 'macdonald']"
232,macdonald,scott,c.,['religion'],n,0,croghan bicentennial professor in biblical and early christian studies,"1978, b.a., cornell university, 1981, b.d., university of st andrews, 1986, ph.d., cornell university","['scott', 'c.', 'macdonald']"
233,prieto,carlos,macias,['spanish'],n,0,assistant professor of spanish,"2007, b.a., university of california, berkeley, 2011, m.a., purdue university, 2020, ph.d., university of california, berkeley","['carlos', 'macias', 'prieto']"
234,macintire,jenna,,['chemistry'],n,0,lecturer in chemistry,"1992, b.a., university of vermont","['jenna', 'macintire']"
235,mahon,james,e.,['political science'],s,0,woodrow wilson professor of political science,"1977, b.a., dartmouth college, 1983, m.a., university of california, berkeley, 1989, ph.d., university of california, berkeley, on leave spring 2021","['james', 'e.', 'mahon']"
236,majumder,protik,k.,['philosophy'],n,0,barclay jermain professor of natural philosophy,"1982, b.s., yale university, 1989, ph.d., harvard university","['protik', 'k.', 'majumder']"
237,mandel,marc,,['physical education'],n,0,assistant professor of physical education and head men's crew coach,"1998, b.a., northwestern university, 2012, m.b.a., georgetown university","['marc', 'mandel']"
238,mandel,maud,,['history'],n,0,"president, professor of history","1989, b.a., oberlin college, 1993, a.m., university of michigan, 1998, ph.d., university of michigan, affiliated with: history department","['maud', 'mandel']"
239,manigault-bryant,james,a.,"['africana studies', 'anthropology', 'religion', 'sociology']",y,0,professor of africana studies and faculty affiliate in anthropology and sociology and religion,"1995, b.a., tulane university, 2002, ph.d., brown university, affiliated with: religion department, anthropology and sociology","['james', 'a.', 'manigault-bryant']"
240,manigault-bryant,rhon,s.,"['africana studies', 'religion']",y,0,professor of africana studies and faculty affiliate in religion,"1999, a.b., duke university, 2002, m.div., emory university, 2007, ph.d., emory university","['rhon', 's.', 'manigault-bryant']"
241,manning,patricia,,['physical education'],n,0,assistant professor of physical education and head women's basketball coach,"1977, b.s., state university of new york, cortland, 1981, m.s., state university of new york, cortland, 1988, m.s., smith college","['patricia', 'manning']"
242,maroja,luana,s.,['biology'],n,0,associate professor of biology,"1999, b.s., universidade federal do rio de janeiro, 2001, m.s., universidade federal do rio de janeiro, 2008, ph.d., cornell university","['luana', 's.', 'maroja']"
243,martin,brian,,"['comparative literature', 'french', 'romance languages']",n,0,chair of romance languages and professor of french and comparative literature,"1993, a.b., harvard university, 1996, m.a., university of california, los angeles, 1999, a.m., harvard university, 2003, ph.d., harvard university","['brian', 'martin']"
244,martin,laura,j.,"['environmental studies', 'history']",y,0,assistant professor of environmental studies and faculty affiliate in history,"2006, s.b., brown university, 2010, m.s., cornell university, 2015, ph.d., cornell university, affiliated with: history department","['laura', 'j.', 'martin']"
245,marvin,martha,,['neuroscience'],n,0,lecturer in neuroscience,"1984, b.a., university of california, berkeley, 1995, ph.d., massachusetts institute of technology","['martha', 'marvin']"
246,mcallister,james,,['political science'],n,0,fred greene third century professor of political science,"1986, b.a., state university of new york, buffalo, 1989, m.a., columbia university, 1999, ph.d., columbia university, affiliated with: leadership studies program","['james', 'mcallister']"
247,mccauley,samuel,,['computer science'],n,0,assistant professor of computer science,"2010, b.s., tufts university, 2016, ph.d., stony brook university","['samuel', 'mccauley']"
248,mccormack,george,,['physical education'],n,0,"assistant professor of physical education, head men's lacrosse coach","1987, b.s., ithaca college, 2007, m.ed., boston university","['george', 'mccormack']"
249,mcdonough,mark,t.,['physical education'],n,0,"lecturer in physical education, assistant football coach","2002, b.s., ithaca college","['mark', 't.', 'mcdonough']"
250,mcgowan,elizabeth,p.,"['art', 'history']",n,0,"art dept co-chair & chair of art history, robert sterling clark professor of art","1979, b.a., princeton university, 1981, m.a., new york university institute of fine arts, 1983, ph.d., new york university institute of fine arts","['elizabeth', 'p.', 'mcgowan']"
251,mcpartland,keith,e.,['philosophy'],n,0,associate professor of philosophy,"1994, b.a., rutgers university, 1998, m.a., cornell university, 2007, ph.d., cornell university","['keith', 'e.', 'mcpartland']"
252,mcweeny,gage,c.,"['english', 'humanities', 'social sciences']",n,0,"professor of english, chair of oakley center for the humanities and social sciences","1993, b.a., columbia university, 1998, m.a., princeton university, 2003, ph.d., princeton university, affiliated with: oakley ctr for human & soc sci","['gage', 'c.', 'mcweeny']"
253,meché,brittany,,['environmental studies'],n,0,gaius charles bolin fellow in the environmental studies program,"2010, b.a., new york university, 2014, m.a., the new school","['brittany', 'meché']"
254,melendy,lisa,,['physical education'],n,0,"chair, director of athletics and assistant professor in physical education","1982, a.b., smith college, 1985, m.s., university of massachusetts, amherst","['lisa', 'melendy']"
255,melgarejo-torres,carolina,,['spanish'],n,1,visiting assistant professor of spanish,"2008, b.a., universidad nacional autónoma de méxico, 2012, m.a., el colegio de méxico, , ph.d.(c), (candidate) el colegio de méxico, linguistics","['carolina', 'melgarejo-torres']"
256,mellow,nicole,e.,['political science'],n,0,professor of political science,"1992, b.a., vassar college, 2003, ph.d., university of texas at austin, affiliated with: leadership studies program","['nicole', 'e.', 'mellow']"
257,merleaux,april,,['environmental studies'],n,1,visiting assistant professor of environmental studies,"1995, b.a., reed college, 2002, m.s., tufts university, 2007, m.phil., yale university, 2010, ph.d., yale university","['april', 'merleaux']"
258,merrill,karen,r.,['american studies'],s,0,frederick rudolph '42 - class of 1965 professor of american culture,"1986, b.a., oberlin college, 1988, m.a., university of denver, 1994, ph.d., university of michigan, on leave spring 2021","['karen', 'r.', 'merrill']"
259,mihailovic,alexandar,,['american studies'],n,1,visiting lecturer in american studies,"1981, b.a., columbia university, 1983, m.a., yale university, 1985, m.phil., yale university, 1993, ph.d., yale university","['alexandar', 'mihailovic']"
260,miles,carolyn,d.,['physical education'],n,0,assistant professor of physical education and associate director/student athlete services,"1998, b.s., university of new hampshire, 2008, m.s., columbia university","['carolyn', 'd.', 'miles']"
261,miller,steven,j.,['math'],n,0,professor of mathematics,"1996, b.s., yale university, 1998, m.a., princeton university, 2002, ph.d., princeton university","['steven', 'j.', 'miller']"
262,minamoto,kaoruko,,['japanese'],n,1,visiting lecturer of japanese,"2013, b.a., ritsumeikan university, 2020, m.a., university of wisconsin-madison","['kaoruko', 'minamoto']"
263,min-barron,marion,,[None],n,1,visiting assistant professor,"2002, b.a., middlebury college, 2010, m.p.h., tufts school of medicine, 2010, m.s., tufts friedman school of nutrition science & policy, 2016, ph.d., tufts friedman school of nutrition science & policy","['marion', 'min-barron']"
264,mitchell-eaton,emily,r,['WGGS'],n,1,"visiting assistant professor of women's, gender and sexuality studies","2006, b.a., smith college, 2011, m.p.a., syracuse university, 2016, ph.d., syracuse university","['emily', 'r', 'mitchell-eaton']"
265,mitchell,gregory,c.,"['anthropology', 'sociology', 'WGGS']",n,0,"chair and associate professor of women's, gender and sexuality studies and faculty affiliate in anthropology/sociology, chair of women's, gender, and sexuality studies","2000, b.s., illinois state university, 2001, m.s., illinois state university, 2007, m.a., university of chicago, 2012, ph.d., northwestern university, affiliated with: anthropology and sociology","['gregory', 'c.', 'mitchell']"
266,mladenovic,bojana,,['philosophy'],f,0,professor of philosophy,"1984, b.a., university of belgrade, 1987, m.a., mcgill university, 1996, ph.d., university of california, berkeley","['bojana', 'mladenovic']"
267,monserrati,michele,,"['comparative literature', 'romance languages']",n,1,visiting assistant professor of romance languages and comparative literature,"2009, m.a., rutgers university, 2012, ph.d., rutgers university, affiliated with: comparative literature program","['michele', 'monserrati']"
268,montiel,peter,j.,['economics'],n,0,"fairleigh s. dickinson, jr. '41 professor of economics","1973, ph.d., massachusetts institute of technology, 1973, b.a., yale university","['peter', 'j.', 'montiel']"
269,morales,manuel,a.,['biology'],n,0,professor of biology,"1994, a.b., kenyon college, 1999, ph.d., university of connecticut","['manuel', 'a.', 'morales']"
270,morrison,ralph,e.,['math'],n,0,assistant professor of mathematics,"2010, b.a., williams college, 2015, ph.d., university of california, berkeley","['ralph', 'e.', 'morrison']"
271,mraz,carolyn,,['theatre'],n,1,visiting lecturer in theatre,"2005, b.a., oberlin college, 2011, m.f.a., new york university","['carolyn', 'mraz']"
272,mumtaz,murad,k.,['art'],n,0,assistant professor of art,"2004, b.f.a., national college of arts, 2010, m.f.a., columbia university, 2018, ph.d., university of virginia","['murad', 'k.', 'mumtaz']"
273,munemo,ngonidzashe,,"['global studies', 'political science']",n,0,"professor of political science, chair of global studies","2000, b.a., bard college, 2001, m.a., columbia university, 2008, ph.d., columbia university, affiliated with: global studies","['ngonidzashe', 'munemo']"
274,muparutsa,tendai,,"['art', 'music']",n,0,"artist in residence in african music performance, lecturer in music, director of zambezi, co-director of kusika","2004, b.a., university of zimbabwe, 2008, m.m., university of idaho, 2012, ph.d., university of alberta","['tendai', 'muparutsa']"
275,nafziger,steven,e.,['economics'],y,0,professor of economics,"2000, b.a., northwestern university, 2002, m.a., yale university, 2003, m.phil., yale university, 2006, ph.d., yale university","['steven', 'e.', 'nafziger']"
276,nassif,lama,,['comparative literature'],n,0,assistant professor of comparative literature,"1994, b.a., damascus university, 2007, m.a., middlebury institute of international studies at monterey, 2014, ph.d., university of texas, austin, affiliated with: comparative literature program","['lama', 'nassif']"
277,nelson,eli,,['american studies'],n,0,assistant professor of american studies,"2012, b.a., shimer college, 2013, m.a., harvard university, 2018, ph.d., harvard university","['eli', 'nelson']"
278,newman,gail,m.,['german'],n,0,"chair of center for foreign languages, literatures & cultures and harold j. henry professor of german","1976, b.a., northwestern university, 1981, m.a., university of minnesota, 1984, ph.d., university of minnesota, affiliated with: german and russian department","['gail', 'm.', 'newman']"
279,ning,shaoyang,,['statistics'],n,0,assistant professor of statistics,"2013, b.s., peking university, 2018, ph.d., harvard university","['shaoyang', 'ning']"
280,njoya,nimu,,['political science'],n,0,lecturer in political science,"2002, b.a., macalester college, 2004, m.a., university of amsterdam, 2010, ph.d., rutgers university","['nimu', 'njoya']"
281,nolan,james,l.,['sociology'],n,0,chair and washington gladden 1859 professor of sociology,"1984, b.a., university of california, davis, 1992, m.a., university of virginia, 1995, ph.d., university of virginia","['james', 'l.', 'nolan']"
282,b. nugent,christopher,m.,"['chinese', 'comparative literature']",y,0,"professor of chinese, chair of comparative literature program","1991, b.a., brown university, 2004, ph.d., harvard university","['christopher', 'm.', 'b. nugent']"
283,olney,will,,['economics'],y,0,associate professor of economics,"2002, b.a., wesleyan university, 2010, ph.d., university of colorado","['will', 'olney']"
284,olsen,sarah,e.,['classics'],n,0,assistant professor of classics,"2008, b.a., wellesley college, 2010, m.a., university of california, berkeley, 2016, ph.d., university of california, berkeley","['sarah', 'e.', 'olsen']"
285,onli,meg,,"['art', 'history']",n,1,visiting lecturer in the program of graduate art history,"2008, b.f.a., school of the art institute of chicago, 2014, m.a., courtauld institute of art","['meg', 'onli']"
286,ortoll-bloch,amnon,g,['chemistry'],n,0,postdoctoral fellow in chemistry,"2014, b.s., national autonomous university of mexico, 2020, ph.d., cornell university","['amnon', 'g', 'ortoll-bloch']"
287,ozier,owen,,['economics'],n,0,associate professor of economics,"1999, s.b., massachusetts institute of technology, 1999, m.eng., massachusetts institute of technology, 2010, ph.d., university of california, berkeley","['owen', 'ozier']"
288,pacelli,allison,,['math'],n,0,professor of mathematics,"1997, b.s., union college, 2003, ph.d., brown university","['allison', 'pacelli']"
289,padios,jan,,['american studies'],n,0,associate professor of american studies,"2001, b.a., columbia university, 2005, m.a., new york university, 2012, ph.d., new york university, 2021, m.f.a., randolph college","['jan', 'padios']"
290,parker,janine,,"['art', 'dance']",n,0,artist-in-residence in dance,none,"['janine', 'parker']"
291,park,lee,y.,['chemistry'],n,0,william r. kenan jr. professor of chemistry,"1986, b.a., wellesley college, 1992, ph.d., massachusetts institute of technology","['lee', 'y.', 'park']"
292,park,paul,c.,['english'],f,0,senior lecturer in english,"1975, b.a., hampshire college","['paul', 'c.', 'park']"
293,pasachoff,jay,m.,['astronomy'],n,0,"chair and field memorial professor of astronomy, director of the hopkins observatory","1963, a.b., harvard university, 1965, a.m., harvard university, 1969, ph.d., harvard university, 1970, postdoctoral research at, harvard college observatory, 1972, postdoctoral research at, caltech/hale observatories","['jay', 'm.', 'pasachoff']"
294,paul,darel,e.,['political science'],n,0,professor of political science,"1990, b.a., university of minnesota, 1994, m.a., george washington university, 2000, ph.d., university of minnesota","['darel', 'e.', 'paul']"
295,peacock-lópez,enrique,,['natural sciences'],n,0,halford r clark professor of natural sciences,"1974, b.s., universidad nacional autonoma de mexico, 1976, m.s., university of california, riverside, 1982, ph.d., university of california, san diego","['enrique', 'peacock-lópez']"
296,pedersen,lori,a.,['math'],n,0,lecturer in mathematics,"1982, b.a., the college of wooster, 1985, m.a., brown university","['lori', 'a.', 'pedersen']"
297,pedroni,julie,,['philosophy'],n,0,lecturer in philosophy,"1986, b.a., wells college, 1999, ph.d., georgetown university, affiliated with: ctr-environmental studies","['julie', 'pedroni']"
298,pedroni,peter,l.,['economics'],n,0,professor of economics,"1986, b.a., miami university, 1993, ph.d., columbia university, 1993, m.a., columbia university","['peter', 'l.', 'pedroni']"
299,velazquez,ileana,perez,['music'],n,0,professor of music,"1989, b.m., higher institute of arts, 1995, m.a., dartmouth college, 1999, d.m.a., indiana university","['ileana', 'perez', 'velazquez']"
300,pethica,james,l.,"['english', 'theatre']",n,0,senior lecturer in english and theatre,"1980, b.a., oxford university, 1987, ph.d., oxford university, affiliated with: theatre department","['james', 'l.', 'pethica']"
301,phelan,greg,,['economics'],n,0,associate professor of economics,"2007, b.a., yale university, 2010, m.a., yale university, 2012, m.phil., yale university, 2014, ph.d., yale university","['greg', 'phelan']"
302,phillips,rowan,ricardo,['english'],n,0,margaret bundy scott professor of english,"1996, b.a., swarthmore college, 2003, ph.d., brown university","['rowan', 'ricardo', 'phillips']"
303,pieprzak,katarzyna,m.,"['comparative literature', 'french']",y,0,"professor of francophone literature, french language, and comparative literature","1995, b.a., rice university, 1998, m.a., university of michigan, 2001, ph.d., university of michigan","['katarzyna', 'm.', 'pieprzak']"
304,pillai,shanti,,['theatre'],n,0,assistant professor of theatre,"1989, b.a., stanford university, 1990, m.a., university of california, berkeley, 2005, ph.d., new york university","['shanti', 'pillai']"
305,plantinga,anna,m.,['statistics'],n,0,assistant professor of statistics,"2013, b.s., calvin college, 2018, ph.d., university of washington","['anna', 'm.', 'plantinga']"
306,podmore,amy,d.,['art'],n,0,"art dept co-chair & chair of studio art, j. kirk t. varnedoe 1967 professor of art","1982, b.s., state university of new york, buffalo, 1987, m.f.a., university of california, davis","['amy', 'd.', 'podmore']"
307,polzak,kailani,,['art'],y,0,assistant professor of art,"2007, b.a., university of california, santa cruz, 2017, ph.d., university of california, berkeley","['kailani', 'polzak']"
308,prindle,daniel,e.,['music'],n,1,visiting instructor in music,"2003, b.m., berklee college of music, 2011, m.m., university of massachusetts, amherst","['daniel', 'e.', 'prindle']"
309,probosz,marek,s.,['theatre'],n,1,visiting lecturer in theatre,none,"['marek', 's.', 'probosz']"
310,pusack,tim,j.,['mystic'],n,0,assistant professor at williams-mystic,"2005, b.a., colgate university, 2013, ph.d., oregon state university","['tim', 'j.', 'pusack']"
311,pye,christopher,l.,['english'],n,0,class of 1924 professor of english,"1975, b.a., oberlin college, 1977, m.a., university college, 1984, ph.d., cornell university","['christopher', 'l.', 'pye']"
312,ragab,ahmed,,[None],n,1,richmond visiting professor,"2006, m.d., qasr al-aini school of medicine, cairo university, 2010, ph.d., école pratique des hautes études, affiliated with: religion department, american studies program","['ahmed', 'ragab']"
313,rai,ashok,s.,['economics'],n,0,professor of economics,"1992, b.a., stanford university, 1997, ph.d., university of chicago","['ashok', 's.', 'rai']"
314,rara,sarah,,['art'],n,0,assistant professor of art,"2005, b.a., brown university, 2011, m.f.a., university of southern california","['sarah', 'rara']"
315,rawle,bob,,['chemistry'],n,0,assistant professor of chemistry,"2008, b.a., pomona college, 2014, ph.d., stanford university","['bob', 'rawle']"
316,raymond,mark,r.,['physical education'],n,0,assistant professor of physical education and head coach of football,"1998, m.a., syracuse university","['mark', 'r.', 'raymond']"
317,raymond,sarah,e.,['physical education'],n,0,assistant professor of physical education and head women's soccer coach,"1991, b.a.s., phillip institute of technology, 2003, m.c.s., long island university","['sarah', 'e.', 'raymond']"
318,raza kolb,anjuli,f.,['english'],y,0,associate professor of english,"2003, b.a., columbia college, 2006, m.a., columbia university, 2008, m.phil., columbia university, 2013, ph.d., columbia university","['anjuli', 'f.', 'raza kolb']"
319,reinhardt,anne,,['history'],n,0,chair and professor of history,"1990, b.a., harvard university, 1994, m.a., university of california, berkeley, 2002, ph.d., princeton university","['anne', 'reinhardt']"
320,reinhardt,mark,t.,['american studies'],n,0,chair and class of 1956 professor of american civilization,"1983, b.a., wesleyan university, 1991, ph.d., university of california, santa cruz, affiliated with: american studies program","['mark', 't.', 'reinhardt']"
321,rhie,bernard,j.,['english'],n,0,chair and associate professor of english,"1997, b.a., university of california, berkeley, 2001, m.a., university of pennsylvania, 2005, ph.d., university of pennsylvania","['bernard', 'j.', 'rhie']"
322,rivero,kenny,,['art'],n,1,visiting assistant professor of art,"2006, b.f.a., school of visual arts, 2012, m.f.a., yale university","['kenny', 'rivero']"
323,roberts,neil,,"['africana studies', 'political science', 'religion']",n,0,chair and professor of africana studies and faculty affiliate in political science and religion,"1998, b.a., brown university, 2003, m.a., university of chicago, 2007, ph.d., university of chicago, affiliated with: religion department, political science department","['neil', 'roberts']"
324,robinson,shivon,a.,['psychology'],n,0,assistant professor of psychology,"2011, b.a., williams college, 2016, ph.d., university of pennsylvania, affiliated with: neuroscience program","['shivon', 'a.', 'robinson']"
325,ronellenfitsch,henrik,,['physics'],n,0,assistant professor of physics,"2010, b.sc., eth zürich, 2012, m.sc., eth zürich, 2016, dr.rer.n, georg-august-universität göttingen","['henrik', 'ronellenfitsch']"
326,rosario,nelly,a.,['latin'],y,0,associate professor of latina/o studies,"1994, s.b., massachusetts institute of technology, 1998, m.f.a., columbia university","['nelly', 'a.', 'rosario']"
327,rosenheim,shawn,j.,['english'],n,0,"professor of english, chair of campus environmental committee","1985, b.a., oberlin college, 1988, m.a., yale university, 1993, ph.d., yale university","['shawn', 'j.', 'rosenheim']"
328,rosenthal,jennifer,k.,['chemistry'],n,0,instructor in chemistry,"1994, b.a., bloomsburg university, 1995, m.ed., east stroudsburg university, 2011, ph.d., state university of new york, albany","['jennifer', 'k.', 'rosenthal']"
329,rothstein,sidney,a.,['political science'],n,0,assistant professor of political science,"2009, b.a., reed college, 2017, ph.d., university of pennsylvania","['sidney', 'a.', 'rothstein']"
330,rouhi,leyla,,['romance languages'],n,0,preston s. parish '41 third century professor of romance languages,"1987, b.a., oxford university, 1988, m.a., harvard university, 1995, ph.d., harvard university","['leyla', 'rouhi']"
331,rulikova,marketa,,['sociology'],n,1,visiting assistant professor of sociology,"1996, b.a., university of pardubice, 1997, m.a., central european university, 2001, ph.d., polish academy of science","['marketa', 'rulikova']"
332,saint-just,sophie,f.,['french'],y,0,assistant professor of french and francophone studies,"1991, b.a., la sorbonne nouvelle (paris iii), 1994, m.a., la sorbonne nouvelle (paris iii), 2004, m.phil., city university of new york, 2013, ph.d., city university of new york","['sophie', 'f.', 'saint-just']"
333,samson,michael,,['economics'],n,0,senior lecturer in economics,"1983, b.a., yale university, 1994, ph.d., stanford university","['michael', 'samson']"
334,sandoval-sanchez,alberto,,[None],n,1,bennett boskey visiting professor,"1983, ph.d., university of minnesota","['alberto', 'sandoval-sanchez']"
335,sandoval,eddy,,['latin'],n,0,gaius charles bolin fellow in latina/o studies,"2014, b.a., dartmouth college, 2017, m.a., university of washington, seattle","['eddy', 'sandoval']"
336,sandstrom,marlene,j.,['psychology'],n,0,"dean of the college, hales professor of psychology","1991, b.a., yale university, 1993, m.a., duke university, 1996, ph.d., duke university, affiliated with: psychology department","['marlene', 'j.', 'sandstrom']"
337,sandstrom,noah,j.,['psychology'],n,0,chair and professor of psychology,"1994, b.a., knox college, 1997, m.a., duke university, 1999, ph.d., duke university, affiliated with: neuroscience program","['noah', 'j.', 'sandstrom']"
338,sangare,omar,a.,['theatre'],n,0,chairperson and professor of theatre,"1993, m.f.a., the theatre academy, 2006, ph.d., the theatre academy","['omar', 'a.', 'sangare']"
339,santiago,ren,dara,['theatre'],n,1,visiting lecturer in theatre,none,"['ren', 'dara', 'santiago']"
340,savage,robert,m.,['biology'],n,0,professor of biology,"1987, b.a., bowdoin college, 1993, ph.d., wesleyan university","['robert', 'm.', 'savage']"
341,savitsky,kenneth,k.,['psychology'],n,0,professor of psychology,"1993, b.a., indiana university, 1997, ph.d., cornell university","['kenneth', 'k.', 'savitsky']"
342,sawicki,jana,,['philosophy'],n,0,chair of philosophy and morris professor of rhetoric,"1974, b.a., sweet briar college, 1978, m.a., columbia university, 1983, ph.d., columbia university","['jana', 'sawicki']"
343,schaumberg,ned,g.,['mystic'],n,0,assistant professor at williams-mystic,"2009, b.a., whitman college, 2012, m.a., university of washington, 2018, ph.d., university of washington","['ned', 'g.', 'schaumberg']"
344,schmidt,lucie,,['economics'],n,0,john j gibson professor of economics,"1993, a.b., smith college, 1997, m.a., university of michigan, 2003, ph.d., university of michigan","['lucie', 'schmidt']"
345,sen,pallavi,,['art'],n,0,assistant professor of art,"2016, m.f.a., virginia commonwealth university","['pallavi', 'sen']"
346,seong,eun,young,['japanese'],n,1,visiting assistant professor of japanese,"2008, b.a., korea university, 2012, m.a., the university of tokyo, 2019, ph.d., university of california, irvine","['eun', 'young', 'seong']"
347,shaddock,justin,b.,['philosophy'],n,0,assistant professor of philosophy,"2004, b.a., university of notre dame, 2011, ph.d., university of chicago","['justin', 'b.', 'shaddock']"
348,shanks,cheryl,,['political science'],n,0,professor of political science,"1983, b.a., university of california, santa cruz, 1988, m.a., university of michigan, 1994, ph.d., university of michigan","['cheryl', 'shanks']"
349,shaw,kelly,a.,['computer science'],n,0,associate professor of computer science,"1997, b.s., duke university, 2005, ph.d., stanford university","['kelly', 'a.', 'shaw']"
350,shepard,james,r.,"['history', 'american studies']",n,0,"j. leland miller professor of american history, literature, and eloquence","1978, b.a., trinity college, 1980, m.f.a., brown university","['james', 'r.', 'shepard']"
351,shepard,karen,l.,['english'],n,0,senior lecturer in english,"1987, b.a., williams college, 1992, m.f.a., university of houston","['karen', 'l.', 'shepard']"
352,sheppard,stephen,c.,['economics'],n,0,class of 2012 professor of economics,"1977, b.s., university of utah, 1979, m.a., washington university, 1984, ph.d., washington university","['stephen', 'c.', 'sheppard']"
353,sheppard,w.,anthony,"['art', 'music']",n,0,marylin & arthur levitt professor of music,"1991, b.a., amherst college, 1993, m.f.a., princeton university, 1996, ph.d., princeton university","['w.', 'anthony', 'sheppard']"
354,shevchenko,olga,,['sociology'],s,0,professor of sociology,"1996, b.a., moscow state university, 1997, m.a., central european university, 2002, ph.d., university of pennsylvania, on leave spring 2021","['olga', 'shevchenko']"
355,shoffstall,grant,,"['anthropology', 'sociology']",n,1,visiting lecturer in anthropology & sociology,"2002, b.a., illinois state university, 2006, m.a., illinois state university, 2014, ph.d., university of illinois","['grant', 'shoffstall']"
356,shore-sheppard,lara,d.,['economics'],n,0,chair and kimberly a. '96 and robert r. '62 henry professor of economics,"1991, b.a., amherst college, 1993, m.a., princeton university, 1996, ph.d., princeton university","['lara', 'd.', 'shore-sheppard']"
357,silva,cesar,e.,['math'],y,0,hagey family professor of mathematics,"1977, b.s., catholic university of peru, 1979, m.a., university of rochester, 1984, ph.d., university of rochester","['cesar', 'e.', 'silva']"
358,simko,christina,e.,['sociology'],n,0,assistant professor of sociology,"2005, b.a., bridgewater college, 2007, m.a., university of virgina, 2013, ph.d., university of virginia","['christina', 'e.', 'simko']"
359,simon,jeremy,c,['psychology'],n,1,visiting assistant professor of psychology,"2013, b.a., amherst college, 2017, m.a., brandeis university, 2020, ph.d., brandeis university","['jeremy', 'c', 'simon']"
360,singh,shikha,,['computer science'],n,0,assistant professor of computer science,"2013, m.s., indian institute of technology, 2018, ph.d., stony brook university","['shikha', 'singh']"
361,siniawer,eiko,maruko,['history'],n,0,class of 1955 memorial professor of history,"1997, b.a., williams college, 1999, m.a., harvard university, 2003, ph.d., harvard university, affiliated with: asian studies department","['eiko', 'maruko', 'siniawer']"
362,skorobogatov,yana,,['history'],n,0,assistant professor of history,"2009, b.a., university of california, berkeley, 2012, m.a., university of texas, austin, 2018, ph.d., university of california, berkeley","['yana', 'skorobogatov']"
363,smith,david,l.,['english'],n,0,john w chandler professor of english,"1974, b.a., new college, 1975, m.a., university of chicago, 1980, ph.d., university of chicago","['david', 'l.', 'smith']"
364,smith,matthew,j.,['africana studies'],n,1,sterling brown '22 visiting professor of africana studies,"2002, ph.d., university of florida","['matthew', 'j.', 'smith']"
365,smith,thomas,e.,['chemistry'],n,0,professor of chemistry,"1988, b.a., williams college, 1996, ph.d., stanford university, 1998, postdoctoral fellow at, harvard university","['thomas', 'e.', 'smith']"
366,snyder,ben,,['sociology'],n,0,assistant professor of sociology,"2003, b.a., haverford college, 2007, m.a., university of virginia, 2013, ph.d., university of virginia","['ben', 'snyder']"
367,snyder,greta,f.,['WGGS'],n,1,"visiting assistant professor of women's, gender, and sexuality studies","2003, b.a., haverford college, 2007, m.a., university of virginia, 2011, ph.d., university of virginia","['greta', 'f.', 'snyder']"
368,sokolsky,anita,r.,['english'],y,0,professor of english,"1974, b.a., oberlin college, 1979, m.a., cornell university, 1983, ph.d., cornell university","['anita', 'r.', 'sokolsky']"
369,solum,stefanie,,['art'],n,0,professor of art,"1991, b.a., university of wisconsin, madison, 1995, m.a., university of california, berkeley, 2001, ph.d., university of california, berkeley","['stefanie', 'solum']"
370,starenko,peter,,['history'],n,1,visiting assistant professor of history,none,"['peter', 'starenko']"
371,steele,stephanie,j.,['psychology'],n,1,visiting assistant professor of psychology,"2007, b.a., smith college, 2012, m.a., suffolk university, 2017, ph.d., suffolk university","['stephanie', 'j.', 'steele']"
372,stevenson,doris,j.,['art'],n,0,"lyell b. clay artist in residence, piano","1967, b.m., arizona state university, 1969, m.m., university of southern california","['doris', 'j.', 'stevenson']"
373,steward,tyran,k.,['history'],n,0,assistant professor of history,"2000, b.a., morehouse college, 2009, m.a., eastern michigan university, 2013, ph.d., ohio state university","['tyran', 'k.', 'steward']"
374,stoiciu,mihai,,['math'],n,0,chair and professor of mathematics,"2005, ph.d., california institute of technology","['mihai', 'stoiciu']"
375,storm,jason,josephson,['religion'],n,0,"chair and professor of religion, chair of science and technology studies","1999, b.a., hampshire college, 2001, m.a., harvard university, 2006, ph.d., stanford university, affiliated with: science & technology studies","['jason', 'josephson', 'storm']"
